character,event_summary,book,paragraph_num,event_type,chapter_estimate,entities_mentioned
Granger,"“Ah, but the Third Hallow is a true Cloak of Invisibility, Miss Granger!",Harry Potter And The Deathly Hallows,2633,movement,27,"Cloak, Granger"
Harry,"“So the Elder Wand,” said Harry quickly, before Hermione could retort, “you think that exists too?”",Harry Potter And The Deathly Hallows,2640,dialogue,27,"Harry, Hermione"
Xenophilius,"“Oh, well, in that case there is endless evidence,” said Xenophilius.",Harry Potter And The Deathly Hallows,2641,dialogue,27,Xenophilius
Hallow,"“The Elder Wand is the Hallow that is most easily traced, because of the way in which it passes from hand to hand.”",Harry Potter And The Deathly Hallows,2641,magic,27,Hallow
Xenophilius,"“Which is that the possessor of the wand must capture it from its previous owner, if he is to be truly master of it,” said Xenophilius.",Harry Potter And The Deathly Hallows,2642,dialogue,27,Xenophilius
Baraabas Deverill,"Of the dreadful Loxias, who took the wand from Baraabas Deverill, whom he had killed?",Harry Potter And The Deathly Hallows,2642,battle,27,"Loxias, Baraabas Deverill"
Loxias,"Of the dreadful Loxias, who took the wand from Baraabas Deverill, whom he had killed?",Harry Potter And The Deathly Hallows,2642,battle,27,"Loxias, Baraabas Deverill"
Ron,“So where do you think the Elder Wand is now?” asked Ron.,Harry Potter And The Deathly Hallows,2644,dialogue,27,"the Elder Wand, Ron"
The Elder Wand,“So where do you think the Elder Wand is now?” asked Ron.,Harry Potter And The Deathly Hallows,2644,dialogue,27,"the Elder Wand, Ron"
Lovegood,"Finally Hermione asked stiffly, “Mr. Lovegood, does the Peverell family have anything to do with the Deathly Hallows?”",Harry Potter And The Deathly Hallows,2646,romantic,27,"Lovegood, Peverell"
Peverell,"Finally Hermione asked stiffly, “Mr. Lovegood, does the Peverell family have anything to do with the Deathly Hallows?”",Harry Potter And The Deathly Hallows,2646,romantic,27,"Lovegood, Peverell"
Xenophilius,"“But you have been misleading me, young woman!” said Xenophilius, now sitting up much straighter in his chair and goggling at Hermione.",Harry Potter And The Deathly Hallows,2648,dialogue,27,"Xenophilius, Hermione"
Harry,Harry waited until they could hear Xenophilius moving about in the kitchen downstairs before speaking.,Harry Potter And The Deathly Hallows,2655,other,27,"Harry, Xenophilius"
Ron,"“I s'pose this is the man who brought us Crumple-Horned Snorkacks,” said Ron.",Harry Potter And The Deathly Hallows,2657,dialogue,27,Ron
Ron,"Come to think of it,” Ron added, “maybe that story's why elder wands are supposed to be unlucky.”",Harry Potter And The Deathly Hallows,2658,magic,27,Ron
Jinx,"'Jinx by twilight, undone by midnight.'",Harry Potter And The Deathly Hallows,2659,other,27,Jinx
Harry,"The three of them spoke at the same time: Hermione said, “the Cloak,” Ron said, “the wand,” and Harry said, “the stone.”",Harry Potter And The Deathly Hallows,2661,dialogue,27,"Hermione, Cloak, Ron, Harry"
Ron,"The three of them spoke at the same time: Hermione said, “the Cloak,” Ron said, “the wand,” and Harry said, “the stone.”",Harry Potter And The Deathly Hallows,2661,dialogue,27,"Hermione, Cloak, Ron, Harry"
Harry,"Some wizards just like to boast that theirs are bigger and better than other people's“ ”But how do you know,“ said Harry, ”that those wants -- the Deathstick, and the Wand of Destiny -- aren't the same want, surfacing over the centuries under different names?“",Harry Potter And The Deathly Hallows,2664,death,27,"Harry, Deathstick"
Lovegood,“I don't think anyone except Mr. Lovegood could kid themselves that's possible.,Harry Potter And The Deathly Hallows,2664,romantic,27,Lovegood
Harry,Harry wondered whether it would be possible to eat enough of whatever Xenophilius was cooking to spare his feelings.,Harry Potter And The Deathly Hallows,2664,other,27,"Harry, Xenophilius"
Xenophilius,Harry wondered whether it would be possible to eat enough of whatever Xenophilius was cooking to spare his feelings.,Harry Potter And The Deathly Hallows,2664,other,27,"Harry, Xenophilius"
Harry,But Harry had already reached the next level.,Harry Potter And The Deathly Hallows,2664,other,27,Harry
Harry,Harry felt a great rush of affection for Luna.,Harry Potter And The Deathly Hallows,2664,other,27,"Harry, Luna"
Luna,Harry felt a great rush of affection for Luna.,Harry Potter And The Deathly Hallows,2664,other,27,"Harry, Luna"
Quibbler,"The front of the Quibbler carried his own picture, emblazoned with the words “Undesirable Number One” and captioned with the reward money.",Harry Potter And The Deathly Hallows,2664,other,27,Quibbler
Quibbler,"“The Quibbler's going for a new angle, then?:",Harry Potter And The Deathly Hallows,2664,other,27,Quibbler
Harry,"Harry asked coldly, his mind working very fast. ”",Harry Potter And The Deathly Hallows,2664,dialogue,27,Harry
Xenophilius,"Xenophilius licked his lips “They took my Luna,” he whispered, “Because of what I've been writing.",Harry Potter And The Deathly Hallows,2664,other,27,Luna
Luna,"Xenophilius licked his lips “They took my Luna,” he whispered, “Because of what I've been writing.",Harry Potter And The Deathly Hallows,2664,other,27,Luna
Ron,“No deal.” said Ron flatly.,Harry Potter And The Deathly Hallows,2664,dialogue,27,Ron
Harry,"He spread his arms in front of the staircase, and Harry had a sudden vision of his mother doing the same thing in front of his crib.",Harry Potter And The Deathly Hallows,2664,other,27,Harry
Harry,Harry realized their mistake just in time.,Harry Potter And The Deathly Hallows,2664,discovery,27,Harry
Luna,"“Please...please...give me Luna, just let me have Luna...”",Harry Potter And The Deathly Hallows,2664,other,27,"Luna, Luna"
Xenophilius,Xenophilius gave a wail of fear and despair.,Harry Potter And The Deathly Hallows,2664,emotional,27,Xenophilius
Xenophilius,Xenophilius was trying to get through the debris on the stairs.,Harry Potter And The Deathly Hallows,2664,other,27,Xenophilius
Xenophilius,He started to dig himself out under cover of all the noise Xenophilius was making on the staircase.,Harry Potter And The Deathly Hallows,2664,other,27,Xenophilius
Ron,Ron was buried the deepest.,Harry Potter And The Deathly Hallows,2664,other,27,Ron
Hermione,"While Xenophilius banging and scraping drew nearer and nearer, Hermione managed to free Ron with the use of a Hover Charm.",Harry Potter And The Deathly Hallows,2664,magic,27,"Xenophilius, Hermione, Ron, a Hover Charm"
Xenophilius,"While Xenophilius banging and scraping drew nearer and nearer, Hermione managed to free Ron with the use of a Hover Charm.",Harry Potter And The Deathly Hallows,2664,magic,27,"Xenophilius, Hermione, Ron, a Hover Charm"
Ron,"While Xenophilius banging and scraping drew nearer and nearer, Hermione managed to free Ron with the use of a Hover Charm.",Harry Potter And The Deathly Hallows,2664,magic,27,"Xenophilius, Hermione, Ron, a Hover Charm"
Ron,Ron vanished beneath the Cloak.,Harry Potter And The Deathly Hallows,2664,other,27,"Ron, Cloak"
Xenophilius,Xenophilius was trying to shift it using a Hover Charm.,Harry Potter And The Deathly Hallows,2664,magic,27,"Xenophilius, Hover Charm"
Harry,"groaned Hermione, “That’s why I wanted the Death Eaters to get a glimpse of Harry before we left, so they knew Xenophilius hadn’t been lying!”",Harry Potter And The Deathly Hallows,2669,movement,27,"Hermione, the Death Eaters, Harry, Xenophilius"
Ron,"“Then she’ll be in Azkaban, I expect,” said Ron.",Harry Potter And The Deathly Hallows,2675,dialogue,27,"Azkaban, Ron"
Luna,"“She’s tough, Luna, much tougher than you’d think.",Harry Potter And The Deathly Hallows,2676,other,27,Luna
Wrackspurts,She’s probably teaching all the inmates about Wrackspurts and Nargles.”,Harry Potter And The Deathly Hallows,2676,other,27,"Wrackspurts, Nargles"
Xenophilius,“I’d feel so sorry for Xenophilius if ---“,Harry Potter And The Deathly Hallows,2677,other,27,Xenophilius
Stan,"It was much easier pretending to be Stan, because I knew a bit about him, than inventing a whole new person.",Harry Potter And The Deathly Hallows,2681,other,27,Stan
Lovegood,"Old Lovegood was under loads of pressure, trying to make sure we stayed put.",Harry Potter And The Deathly Hallows,2681,romantic,27,
Harry’S Invisibility Cloak,“Harry’s Invisibility Cloak ---“,Harry Potter And The Deathly Hallows,2684,other,27,
Deathstick,“You said there have been loads of wands --- the Deathstick and whatever they were called ---“,Harry Potter And The Deathly Hallows,2687,death,27,Deathstick
Marvolo Gaunt,"“The ring, the ring that became the Horcrux, Marvolo Gaunt said it had the Peverell coat of arms on it!",Harry Potter And The Deathly Hallows,2698,movement,27,"Horcrux, Marvolo Gaunt, Peverell"
Harry,"“Why not said Harry excitedly, “Marvolo Gaunt was an ignorant old git who lived like a pig, all he cared about was his ancestry.",Harry Potter And The Deathly Hallows,2703,movement,28,"Harry, Marvolo Gaunt"
Marvolo Gaunt,"“Why not said Harry excitedly, “Marvolo Gaunt was an ignorant old git who lived like a pig, all he cared about was his ancestry.",Harry Potter And The Deathly Hallows,2703,movement,28,"Harry, Marvolo Gaunt"
Dumbledore,“Blimey --- but would it still work if Dumbledore broke --- ?”,Harry Potter And The Deathly Hallows,2706,other,28,Dumbledore
Dumbledore,“What did Dumbledore do with it after he broke it open?”,Harry Potter And The Deathly Hallows,2711,other,28,Dumbledore
Horcruxes,"And he saw himself, possessor of the Hallows, facing Voldemort, whose Horcruxes were no match…Neither can live while the other survives…Was this the answer?",Harry Potter And The Deathly Hallows,2714,other,28,Horcruxes
Cloak,"The Cloak was exactly what Xenophilius had described: A cloak that really and truly renders the wearer completely invisible, and endures eternally, giving constant and impenetrable concealment, no matter what spells are cast at it…",Harry Potter And The Deathly Hallows,2715,magic,28,"Cloak, Xenophilius, wearer"
Xenophilius,"The Cloak was exactly what Xenophilius had described: A cloak that really and truly renders the wearer completely invisible, and endures eternally, giving constant and impenetrable concealment, no matter what spells are cast at it…",Harry Potter And The Deathly Hallows,2715,magic,28,"Cloak, Xenophilius, wearer"
Harry,"Ignotus Peverell is buried in Godric’s Hollow…” Harry was walking blindly around the tent, feeling as though great new vistas of truth were opening all around him.",Harry Potter And The Deathly Hallows,2718,other,28,"Ignotus Peverell, Godric’s Hollow, Harry"
Godric’S Hollow,"Ignotus Peverell is buried in Godric’s Hollow…” Harry was walking blindly around the tent, feeling as though great new vistas of truth were opening all around him.",Harry Potter And The Deathly Hallows,2718,other,28,"Ignotus Peverell, Godric’s Hollow, Harry"
Ignotus Peverell,"Ignotus Peverell is buried in Godric’s Hollow…” Harry was walking blindly around the tent, feeling as though great new vistas of truth were opening all around him.",Harry Potter And The Deathly Hallows,2718,other,28,"Ignotus Peverell, Godric’s Hollow, Harry"
Cloak,"Dumbledore had the Cloak, Hermione!",Harry Potter And The Deathly Hallows,2721,other,28,"Dumbledore, Cloak"
Dumbledore,"Dumbledore had the Cloak, Hermione!",Harry Potter And The Deathly Hallows,2721,other,28,"Dumbledore, Cloak"
Harry,"It was so obvious, so clear to Harry.",Harry Potter And The Deathly Hallows,2724,other,28,Harry
Cloak,"Everything fit, everything…His Cloak was the third Hallow, and when he discovered how to open the Snitch he would have the second, and then all he needed to do was find the first Hallow, the Elder Wand, and then ---",Harry Potter And The Deathly Hallows,2724,discovery,28,"Cloak, Snitch, the Elder Wand"
Horcruxes,"If he had known about the Deathly Hallows, he might not have needed Horcruxes in the first place.",Harry Potter And The Deathly Hallows,2729,death,28,Horcruxes
Hallow,"Which meant that Voldemort sought the Elder Wand without realizing its full power, without understanding that it was one of three…for the wand was the Hallow that could not be hidden, whose existence was best known…The bloody trail of the Elder Wand is splattered across the pages of Wizarding history…",Harry Potter And The Deathly Hallows,2730,magic,28,"the Elder Wand, Hallow, the Elder Wand, Wizarding"
The Elder Wand,"Which meant that Voldemort sought the Elder Wand without realizing its full power, without understanding that it was one of three…for the wand was the Hallow that could not be hidden, whose existence was best known…The bloody trail of the Elder Wand is splattered across the pages of Wizarding history…",Harry Potter And The Deathly Hallows,2730,magic,28,"the Elder Wand, Hallow, the Elder Wand, Wizarding"
Harry,"Harry said, trying to bring them inside the glow of his own astonished certainty, “This explains everything.",Harry Potter And The Deathly Hallows,2733,dialogue,28,Harry
Harry,"Harry, you’re just getting carried away.",Harry Potter And The Deathly Hallows,2736,other,28,Harry
Dumbledore,"This is the real thing, and Dumbledore left you very clear instructions: Find and destroy the Horcruxes!",Harry Potter And The Deathly Hallows,2740,movement,28,Dumbledore
Harry,"“I think we’re supposed to get rid of Horcruxes, Harry.",Harry Potter And The Deathly Hallows,2742,other,28,"Horcruxes, Harry"
Dumbledore,That’s what Dumbledore told us to do.,Harry Potter And The Deathly Hallows,2742,other,28,Dumbledore
Harry,"The downpour pursued them to the coast, where they pitched the tent that night, and persisted through the whole week, through sodden landscapes that Harry found bleak and depressing.",Harry Potter And The Deathly Hallows,2750,discovery,28,Harry
Dumbledore,We’re the ones trying to do what Dumbledore wanted us to do!”,Harry Potter And The Deathly Hallows,2751,other,28,Dumbledore
Harry,"Dumbledore had left the sign of the Hallows for Hermione to decipher, and he had also, Harry remained convinced of it, left the Resurrection Stone hidden in the golden Snitch.",Harry Potter And The Deathly Hallows,2752,movement,28,"Dumbledore, Harry"
Dumbledore,"Dumbledore had left the sign of the Hallows for Hermione to decipher, and he had also, Harry remained convinced of it, left the Resurrection Stone hidden in the golden Snitch.",Harry Potter And The Deathly Hallows,2752,movement,28,"Dumbledore, Harry"
Hermione,Neither can live while the other survives…master of Death…Why didn’t Ron and Hermione understand?,Harry Potter And The Deathly Hallows,2752,death,28,"Death, Ron, Hermione"
Ron,Neither can live while the other survives…master of Death…Why didn’t Ron and Hermione understand?,Harry Potter And The Deathly Hallows,2752,death,28,"Death, Ron, Hermione"
Death,Neither can live while the other survives…master of Death…Why didn’t Ron and Hermione understand?,Harry Potter And The Deathly Hallows,2752,death,28,"Death, Ron, Hermione"
Harry,"Even the mystery of the silver doe, which the other two insisted on discussing, seemed less important to Harry now, a vaguely interesting sideshow.",Harry Potter And The Deathly Hallows,2755,other,28,Harry
Harry,"Used to images sharp as reality, Harry was disconcerted by the change.",Harry Potter And The Deathly Hallows,2755,other,28,Harry
Harry,"As the weeks crept on, Harry could not help but notice, even through his new self-absorption, that Ron seemed to be taking charge.",Harry Potter And The Deathly Hallows,2756,other,28,"Harry, Ron"
Ron,"As the weeks crept on, Harry could not help but notice, even through his new self-absorption, that Ron seemed to be taking charge.",Harry Potter And The Deathly Hallows,2756,other,28,"Harry, Ron"
Diagon Alley,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Tom Riddle,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Hermione,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Ron,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Hogwarts,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Harry,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Borgin,"Diagon Alley, Hogwarts, the Riddle House, Borgin and Burkes, Albania, every place that they knew Tom Riddle had ever lived or worked, visited or murdered, Ron and Hermione raked over them again, Harry joining in only to stop Hermione pestering him.",Harry Potter And The Deathly Hallows,2758,other,28,"Diagon Alley, Hogwarts, the Riddle House, Borgin, Burkes, Albania, Tom Riddle, Ron, Hermione, Harry, Hermione"
Harry,"He would have been happy to sit alone in silence, trying to read Voldemort’s thoughts, to find out more about the Elder Wand, but Ron insisted on journeying to ever more unlikely places simply, Harry was aware, to keep them moving.",Harry Potter And The Deathly Hallows,2758,magic,28,"the Elder Wand, Ron, Harry"
Ron,"He would have been happy to sit alone in silence, trying to read Voldemort’s thoughts, to find out more about the Elder Wand, but Ron insisted on journeying to ever more unlikely places simply, Harry was aware, to keep them moving.",Harry Potter And The Deathly Hallows,2758,magic,28,"the Elder Wand, Ron, Harry"
Upper Flagley,"“Upper Flagley is a Wizarding village, he might’ve wanted to live there.",Harry Potter And The Deathly Hallows,2759,other,28,"Upper Flagley, Wizarding"
Ron,"“Some of them are supposed to be as bad as Death Eaters,” said Ron.",Harry Potter And The Deathly Hallows,2761,death,28,"Death Eaters, Ron"
Bill,"“The lot that got me were a bit pathetic, but Bill recons some of them are really dangerous.",Harry Potter And The Deathly Hallows,2761,other,28,Bill
Ron,Ron spent evening after evening using his wand to beat out various rhythms on top of the wireless while the dials whirled.,Harry Potter And The Deathly Hallows,2763,magic,28,Ron
Ron,"While he taped, Ron continued to try to hit on the correct password, muttering strings of random words under his breath.",Harry Potter And The Deathly Hallows,2763,movement,28,Ron
Order,"“They’re normally something to do with the Order,” he told them.",Harry Potter And The Deathly Hallows,2764,other,28,Order
Bill,“Bill had a real knack for guessing them.,Harry Potter And The Deathly Hallows,2764,other,28,Bill
Dark Magic,The Order of the Phoenix informs us that her body showed unmistakable signs of injuries inflicted by Dark Magic.,Harry Potter And The Deathly Hallows,2775,magic,28,"Phoenix, Dark Magic"
The Order Of,The Order of the Phoenix informs us that her body showed unmistakable signs of injuries inflicted by Dark Magic.,Harry Potter And The Deathly Hallows,2775,magic,28,"Phoenix, Dark Magic"
Royal,"“And now we can return to regular contributor Royal, for an update on how the new Wizarding order is affecting the Muggle world.”",Harry Potter And The Deathly Hallows,2778,romantic,28,"Royal, Wizarding, Muggle"
Kingsley,"“I’d say that it’s one short step from ‘Wizards first’ to ‘Purebloods first,’ and then to ‘Death Eaters,’” replied Kingsley.",Harry Potter And The Deathly Hallows,2782,death,28,Kingsley
Lee,"“Excellently put, Royal, and you’ve got my vote for Minister of Magic if we ever get out of this mess,” said Lee.",Harry Potter And The Deathly Hallows,2783,dialogue,28,"Royal, Magic, Lee"
Harry,A mixture of gratitude and shame welled up in Harry.,Harry Potter And The Deathly Hallows,2787,other,28,Harry
Harry,"Harry looked at Hermione, whose eyes were full of tears.",Harry Potter And The Deathly Hallows,2790,emotional,28,"Harry, Hermione"
Harry Potter’S,“…and our usual update on those friends of Harry Potter’s who are suffering for their allegiance?”,Harry Potter And The Deathly Hallows,2792,romantic,28,Harry Potter’s
Harry Potter,"“We have also heard within the last few hours that Rubeus Hagrid” – all three of them gasped, and so nearly missed the rest of the sentence -- “well-known gamekeeper at Hogwarts School , has narrowly escaped arrest within the grounds of Hogwarts, where he is rumored to have hosted a ‘Support Harry Potter’ party in his house.",Harry Potter And The Deathly Hallows,2794,other,28,"Rubeus Hagrid, Hogwarts School, Hogwarts, Harry Potter"
Rubeus Hagrid,"“We have also heard within the last few hours that Rubeus Hagrid” – all three of them gasped, and so nearly missed the rest of the sentence -- “well-known gamekeeper at Hogwarts School , has narrowly escaped arrest within the grounds of Hogwarts, where he is rumored to have hosted a ‘Support Harry Potter’ party in his house.",Harry Potter And The Deathly Hallows,2794,other,28,"Rubeus Hagrid, Hogwarts School, Hogwarts, Harry Potter"
Hogwarts,"“We have also heard within the last few hours that Rubeus Hagrid” – all three of them gasped, and so nearly missed the rest of the sentence -- “well-known gamekeeper at Hogwarts School , has narrowly escaped arrest within the grounds of Hogwarts, where he is rumored to have hosted a ‘Support Harry Potter’ party in his house.",Harry Potter And The Deathly Hallows,2794,other,28,"Rubeus Hagrid, Hogwarts School, Hogwarts, Harry Potter"
Lupin,"“It would tend to give you an edge,” agreed Lupin gravely.",Harry Potter And The Deathly Hallows,2796,other,28,Lupin
Harry Potter,And now let’s move to news concerning the wizard who is proving just as elusive as Harry Potter.,Harry Potter And The Deathly Hallows,2797,other,28,"’s, Harry Potter"
Death Eater,"We like to refer to him as the Chief Death Eater, and here to give his views on some of the more insane rumors circulating about him, I’d like to introduce a new correspondent.",Harry Potter And The Deathly Hallows,2797,death,28,Death Eater
Harry,"“’Rodent’?” said yet another familiar voice, and Harry, Ron, and Hermione cried out together:",Harry Potter And The Deathly Hallows,2798,emotional,28,"Harry, Ron, Hermione"
Hermione,"“’Rodent’?” said yet another familiar voice, and Harry, Ron, and Hermione cried out together:",Harry Potter And The Deathly Hallows,2798,emotional,28,"Harry, Ron, Hermione"
Ron,"“’Rodent’?” said yet another familiar voice, and Harry, Ron, and Hermione cried out together:",Harry Potter And The Deathly Hallows,2798,emotional,28,"Harry, Ron, Hermione"
Kingsley,"“Which suits him, of course,” said Kingsley.",Harry Potter And The Deathly Hallows,2803,dialogue,29,Kingsley
Lee,“And the rumors that he keeps being sighted abroad?” asked Lee.,Harry Potter And The Deathly Hallows,2806,dialogue,29,Lee
Ron,"“Well, they keep on the move, don’t they?” said Ron.",Harry Potter And The Deathly Hallows,2811,dialogue,29,Ron
Harry,"“I told you, Harry, I told you, we can’t say it anymore – we’ve got to put the protection back around us – quickly – it’s how they find –“",Harry Potter And The Deathly Hallows,2814,other,29,Harry
Harry,"Unknown hands dragged Harry roughly off the ground, before he could stop them, someone had rummaged through his pockets and removed the blackthorn wand.",Harry Potter And The Deathly Hallows,2818,magic,29,Harry
Harry,"Harry clutched at his excruciatingly painful face, which felt unrecognizable beneath his fingers, tight, swollen, and puffy as though he had suffered some violent allergic reaction.",Harry Potter And The Deathly Hallows,2818,other,29,Harry
Ron,"There was the unmistakable sound of knuckles hitting flesh: Ron grunted in pain and Hermione screamed, “No! Leave him alone, leave him alone!”",Harry Potter And The Deathly Hallows,2819,other,29,"Ron, Hermione"
Fenrit Greyback,"He knew who this was, Fenrit Greyback, the werewolf who was permitted to wear Death Eater robes in return for his hired savagery.",Harry Potter And The Deathly Hallows,2821,death,29,Fenrit Greyback
Harry,"“Now, let's see who we've got,” said Greyback's gloating voice from overhead, and Harry was rolled over onto his back.",Harry Potter And The Deathly Hallows,2823,dialogue,29,"Greyback, Harry"
Greyback,"“Now, let's see who we've got,” said Greyback's gloating voice from overhead, and Harry was rolled over onto his back.",Harry Potter And The Deathly Hallows,2823,dialogue,29,"Greyback, Harry"
Harry,"“I said,” repeated Greyback, and Harry received a blow to the diaphragm that made him double over in pain.",Harry Potter And The Deathly Hallows,2825,dialogue,29,"Greyback, Harry"
Greyback,"“I said,” repeated Greyback, and Harry received a blow to the diaphragm that made him double over in pain.",Harry Potter And The Deathly Hallows,2825,dialogue,29,"Greyback, Harry"
Stan Shunpike,"“We know Stan Shunpike, 'e's put a bit of work our way.”",Harry Potter And The Deathly Hallows,2827,other,29,Stan Shunpike
Weasley,"“You know who used to like using the Dark Lord's name, Weasley?” growled Greyback, “The Order of the Phoenix .",Harry Potter And The Deathly Hallows,2835,other,29,"Weasley, Greyback"
Greyback,"“You know who used to like using the Dark Lord's name, Weasley?” growled Greyback, “The Order of the Phoenix .",Harry Potter And The Deathly Hallows,2835,other,29,"Weasley, Greyback"
Harry,"Someone yanked Harry up by the hair, dragged him a short way, pushed him down into a sitting position, then started binding him back-to-back with other people.",Harry Potter And The Deathly Hallows,2837,other,29,Harry
Harry,"Greyback was saying, as a pair of hobnailed boots marched close by Harry and they heard more crashes from inside the tent.",Harry Potter And The Deathly Hallows,2842,other,29,Harry
Greyback,"“Interesting,” said Greyback.",Harry Potter And The Deathly Hallows,2844,dialogue,29,Greyback
Hogwarts,What house were you in at Hogwarts?”,Harry Potter And The Deathly Hallows,2846,other,29,Hogwarts
Harry,“It's in the dungeons.” said Harry clearly.,Harry Potter And The Deathly Hallows,2848,dialogue,29,Harry
Vernon,"“Good for you, Vernon , 'cause there ain't a lot of Mudblood Slytherins.",Harry Potter And The Deathly Hallows,2849,other,29,"Vernon, Mudblood Slytherins"
Harry,"“He works at the Ministry,” Harry lied.",Harry Potter And The Deathly Hallows,2850,other,29,Harry
Harry,"Harry could barely breathe: Could luck, sheer luck, get them safely out of this?",Harry Potter And The Deathly Hallows,2852,other,29,Harry
Harry,"“Well, well.” said Greyback, and Harry could hear the tiniest note of trepidation in that callous voice, and knew that Greyback was wondering whether he had just indeed just attacked and bound the son of a Ministry Official.",Harry Potter And The Deathly Hallows,2853,battle,29,"Greyback, Harry, Greyback, Ministry"
Greyback,"“Well, well.” said Greyback, and Harry could hear the tiniest note of trepidation in that callous voice, and knew that Greyback was wondering whether he had just indeed just attacked and bound the son of a Ministry Official.",Harry Potter And The Deathly Hallows,2853,battle,29,"Greyback, Harry, Greyback, Ministry"
Harry,Harry's heart was pounding against the ropes around his ribs; he would not have been surprised to know that Greyback could see it.,Harry Potter And The Deathly Hallows,2853,other,29,"Harry, Greyback"
Greyback,Harry's heart was pounding against the ropes around his ribs; he would not have been surprised to know that Greyback could see it.,Harry Potter And The Deathly Hallows,2853,other,29,"Harry, Greyback"
Harry,"“But,” said Harry, his mouth bone dry, “if you just let us -”",Harry Potter And The Deathly Hallows,2854,dialogue,29,Harry
Harry,"A dark figure came bustling toward them, and Harry saw a glint of silver to the light of their wands.",Harry Potter And The Deathly Hallows,2856,movement,29,Harry
Prophet,"Look at this, in the Prophet!”",Harry Potter And The Deathly Hallows,2859,other,29,Prophet
Harry,"Harry yelled; he could not stop himself, he thought he might be sick from the pain of it.",Harry Potter And The Deathly Hallows,2870,other,29,Harry
Fortress--,--He was hiding around the high walls of the black fortress--,Harry Potter And The Deathly Hallows,2875,other,29,fortress--
Harry,"No, he was Harry, tied up and wandless, in grave danger--",Harry Potter And The Deathly Hallows,2876,magic,29,"Harry, danger--"
Malfoy,"“No,” snarled Greyback, “I haven't got -- they say he's using the Malfoy's place as a base.",Harry Potter And The Deathly Hallows,2881,other,29,"Greyback, Malfoy"
Greyback,"“No,” snarled Greyback, “I haven't got -- they say he's using the Malfoy's place as a base.",Harry Potter And The Deathly Hallows,2881,other,29,"Greyback, Malfoy"
Harry,Harry thought he knew why Greyback was not calling Voldemort.,Harry Potter And The Deathly Hallows,2882,other,29,"Harry, Greyback"
Greyback,Harry thought he knew why Greyback was not calling Voldemort.,Harry Potter And The Deathly Hallows,2882,other,29,"Harry, Greyback"
’S Potter,"“I say that’s Potter, and him plus his wand, that’s two hundred thousand Galleons right there!",Harry Potter And The Deathly Hallows,2885,magic,29,’s Potter
Greyback,"And what about the rest of ‘em, Greyback, what’ll we do with ‘em?”",Harry Potter And The Deathly Hallows,2887,other,29,Greyback
Harry,"Harry could hear Hermione’s breathing, fast and terrified.",Harry Potter And The Deathly Hallows,2889,other,29,"Harry, Hermione"
Harry’S,"Harry’s eyes, still puffy, took a moment to acclimatize, then he saw a pair of wrought-iron gates at the foot of what looked like a long drive.",Harry Potter And The Deathly Hallows,2893,other,29,Harry’s
Harry,"He was, Harry knew, for he was fighting to resist the vision, in some strange, fortresslike place, at the top of a tower.",Harry Potter And The Deathly Hallows,2893,battle,29,Harry
Harry,"How long it would take Voldemort to get to this place, once he knew that Harry was here, was another matter. . . .",Harry Potter And The Deathly Hallows,2893,other,29,Harry
